Word,Count
greatly,5
sorrow,3
conception,1
child,41
desire,2
hearkened,5
sake,11
thorn,1
thistle,1
sweat,1
bread,10
return,9
eve,2
coat,1
skin,2
clothed,1
become,5
hand,51
take,36
ever,2
sent,24
whence,4
drove,6
placed,1
cherubims,1
flaming,1
sword,3
turned,3
way,21
conceived,18
bare,40
cain,16
gotten,5
brother,69
abel,8
keeper,2
sheep,15
tiller,1
came,79
pas,47
offering,10
firstlings,1
flock,24
fat,1
respect,2
wroth,3
countenance,4
fell,6
fallen,1
doest,3
well,41
accepted,2
sin,4
lieth,1
door,11
talked,2
rose,16
slew,2
blood,6
crieth,1
mouth,8
receive,1
tillest,1
henceforth,1
yield,1
strength,1
fugitive,2
vagabond,2
punishment,1
bear,9
driven,1
come,36
findeth,1
slay,6
whosoever,1
slayeth,1
vengeance,1
sevenfold,3
mark,1
finding,1
kill,4
dwelt,20
nod,1
enoch,9
builded,7
city,30
son,191
born,26
irad,2
begat,67
mehujael,2
methusael,2
lamech,10
adah,3
zillah,3
jabal,1
dwell,11
tent,24
jubal,1
harp,2
organ,1
tubalcain,2
instructer,1
artificer,1
brass,1
iron,1
sister,17
naamah,1
hear,6
hearken,3
speech,3
slain,1
wounding,1
young,9
hurt,4
avenged,1
truly,2
seventy,5
seth,7
appointed,4
another,9
enos,6
began,4
men,36
book,1
lived,36
hundred,53
thirty,15
begotten,1
eight,10
daughter,69
nine,12
died,17
five,17
seven,23
twelve,4
ninety,6
cainan,5
fifteen,3
mahalaleel,5
forty,13
ten,11
sixty,6
jared,5
methuselah,5
walked,3
three,18
eighty,3
noah,41
comfort,3
concerning,5
toil,1
old,36
shem,14
ham,10
japheth,9
fair,5
chose,2
always,1
strive,2
yet,18
twenty,10
giant,1
mighty,6
renown,1
wickedness,1
imagination,2
thought,2
heart,10
continually,3
repented,1
grieved,1
destroy,15
repenteth,1
grace,3
perfect,2
corrupt,2
filled,5
violence,2
looked,11
corrupted,1
end,5
ark,26
gopher,1
wood,6
room,5
pitch,2
within,6
fashion,1
length,2
cubit,5
breadth,2
fifty,9
height,1
window,5
finish,1
side,1
lower,1
story,1
even,19
flood,12
establish,6
covenant,26
sort,3
alive,5
gather,2
according,11
house,39
seen,6
righteous,9
clean,6
cause,1
substance,5
six,6
hundredth,2
month,12
seventeenth,2
fountain,4
broken,2
selfsame,3
entered,4
bird,2
shut,3
increased,4
lift,7
prevailed,4
exceedingly,7
hill,1
covered,4
upward,1
prevail,1
mountain,9
destroyed,4
remained,2
remembered,3
wind,1
asswaged,1
stopped,3
restrained,3
returned,9
abated,3
ararat,1
decreased,1
tenth,3
top,4
raven,1
fro,1
dried,3
dove,5
rest,3
sole,1
foot,5
pulled,2
stayed,3
lo,8
olive,1
pluckt,1
removed,5
covering,2
twentieth,1
spake,16
breed,1
altar,9
offered,3
burnt,7
smelled,2
sweet,1
savour,1
curse,4
youth,1
smite,3
remaineth,1
seedtime,1
harvest,2
cold,1
heat,2
summer,1
winter,1
cease,1
fear,8
dread,1
delivered,4
liveth,1
require,4
whoso,1
sheddeth,1
shed,1
therein,5
cut,2
token,4
perpetual,1
bow,7
cloud,4
remember,2
look,7
everlasting,6
established,1
canaan,19
overspread,1
husbandman,1
vineyard,1
drank,3
wine,10
drunken,1
uncovered,1
nakedness,3
garment,2
laid,7
shoulder,5
backward,2
awoke,1
younger,11
servant,39
enlarge,1
gomer,2
magog,1
madai,1
javan,2
tubal,1
meshech,1
tiras,1
ashkenaz,1
riphath,1
togarmah,1
elishah,1
tarshish,1
kittim,1
dodanim,1
isle,1
gentile,1
tongue,3
family,7
nation,24
cush,3
mizraim,2
phut,1
seba,1
sabtah,1
raamah,2
sabtechah,1
sheba,3
dedan,3
nimrod,2
hunter,3
wherefore,10
kingdom,2
babel,2
erech,1
accad,1
calneh,1
shinar,4
asshur,2
nineveh,2
rehoboth,2
calah,2
resen,1
ludim,1
anamim,1
lehabim,1
naphtuhim,1
pathrusim,1
casluhim,1
philistim,1
caphtorim,1
sidon,2
heth,12
jebusite,1
amorite,2
girgasite,1
hivite,1
arkite,1
sinite,1
arvadite,1
zemarite,1
hamathite,1
afterward,3
canaanite,7
spread,2
abroad,7
border,2
comest,3
gerar,8
gaza,1
goest,5
sodom,21
gomorrah,9
admah,3
zeboim,1
lasha,1
country,14
eber,7
elder,4
elam,3
arphaxad,6
lud,1
aram,3
uz,1
hul,1
gether,1
mash,1
salah,6
peleg,5
joktan,3
almodad,1
sheleph,1
hazarmaveth,1
jerah,1
hadoram,1
uzal,1
diklah,1
obal,1
abimael,1
ophir,1
jobab,1
dwelling,3
mesha,1
sephar,1
mount,9
language,4
journeyed,4
plain,13
brick,2
burn,1
thoroughly,1
slime,1
morter,1
tower,2
reach,1
scattered,2
people,20
begin,1
nothing,3
imagined,1
confound,2
understand,1
anothers,1
left,11
scatter,1
reu,4
serug,4
nahor,14
terah,9
nineteen,1
abram,52
haran,13
lot,30
nativity,1
ur,3
chaldee,3
abrams,7
sarai,16
nahors,2
milcah,7
iscah,1
barren,3
law,5
get,4
kindred,9
shew,3
bless,17
blessing,10
curseth,2
departed,9
spoken,7
passed,4
sichem,1
moreh,1
appeared,6
bethel,6
pitched,6
west,2
hai,2
going,2
still,1
south,6
famine,4
egypt,9
sojourn,3
grievous,4
near,12
enter,1
egyptian,6
say,11
save,2
pray,25
beheld,4
prince,4
pharaoh,6
commended,1
entreated,1
ox,4
ass,6
manservant,5
maidservant,5
camel,24
plagued,1
plague,1
didst,7
tell,11
saidst,4
might,7
away,32
rich,3
silver,7
journey,5
herd,5
able,2
could,2
strife,2
herdmen,6
perizzite,1
dwelled,4
separate,2
thyself,3
wilt,12
right,5
depart,1
lifted,8
jordan,3
zoar,7
separated,3
wicked,4
sinner,1
thine,16
northward,1
southward,1
westward,1
seest,3
number,2
numbered,3
arise,8
walk,3
mamre,7
hebron,3
built,2
amraphel,2
king,32
arioch,2
ellasar,2
chedorlaomer,5
tidal,2
war,1
bera,1
birsha,1
shinab,1
shemeber,1
zeboiim,2
bela,2
joined,3
vale,3
siddim,3
salt,2
served,7
thirteenth,1
rebelled,1
fourteenth,1
smote,4
rephaims,2
ashteroth,1
karnaim,1
zuzims,1
emins,1
shaveh,2
kiriathaim,1
horites,1
seir,2
elparan,1
wilderness,5
enmishpat,1
kadesh,3
amalekites,1
amorites,3
hazezontamar,1
battle,1
full,3
slimepits,1
fled,6
victual,1
escaped,1
hebrew,1
eshcol,2
aner,2
confederate,1
captive,2
armed,1
trained,1
eighteen,1
pursued,4
dan,2
hobah,1
damascus,2
back,3
slaughter,1
valley,3
dale,1
melchizedek,1
salem,1
priest,1
possessor,2
enemy,2
tithe,1
person,1
mine,10
thread,1
shoelatchet,1
portion,3
word,8
vision,1
shield,1
exceeding,3
reward,1
seeing,7
childless,1
steward,1
eliezer,1
heir,4
bowel,2
believed,1
counted,3
righteousness,2
inherit,3
whereby,1
heifer,1
goat,10
ram,7
turtledove,1
pigeon,1
piece,3
carcase,1
sun,4
horror,1
surety,3
stranger,7
serve,9
afflict,2
judge,6
peace,5
buried,4
age,6
hither,1
iniquity,2
dark,1
smoking,1
furnace,2
burning,1
lamp,1
kenites,1
kenizzites,1
kadmonites,1
hittite,5
perizzites,1
girgashites,1
jebusites,1
handmaid,5
hagar,12
maid,12
obtain,1
mistress,3
despised,3
wrong,1
bosom,1
pleaseth,2
dealt,1
hardly,1
angel,14
shur,3
sarais,1
camest,3
whither,4
flee,4
submit,1
multitude,4
ishmael,16
affliction,3
wild,1
seeth,1
beerlahairoi,1
bered,1
fourscore,1
almighty,2
abraham,126
possession,7
among,12
circumcised,10
circumcise,1
foreskin,5
betwixt,10
bought,4
money,8
need,4
uncircumcised,1
sarah,36
laughed,3
indeed,2
isaac,70
beget,1
next,1
talking,1
thirteen,1
sat,5
stood,8
ran,8
bowed,6
favour,2
little,6
fetched,2
wash,3
fetch,4
morsel,1
hastened,2
ready,1
measure,1
fine,1
meal,1
knead,1
cake,1
hearth,1
fetcht,1
calf,2
tender,2
hasted,3
butter,1
milk,1
dressed,1
certainly,2
behind,6
stricken,2
ceased,1
manner,5
waxed,2
pleasure,1
laugh,4
hard,1
denied,1
nay,3
hide,1
command,2
household,2
justice,1
judgment,1
cry,4
whether,4
altogether,1
drew,3
peradventure,11
spare,2
far,2
find,6
answered,11
speak,11
ash,1
lack,2
oh,4
angry,2
soon,2
communing,1
gate,6
turn,4
tarry,3
rise,2
early,7
abide,4
street,1
pressed,2
feast,4
bake,1
unleavened,1
lay,9
compassed,1
round,2
quarter,1
wickedly,1
known,2
shadow,1
roof,1
stand,3
fellow,1
deal,4
worse,1
sore,3
break,2
blindness,1
small,2
wearied,1
besides,1
waxen,1
married,1
seemed,2
mocked,1
arose,6
consumed,3
lingered,1
hold,3
merciful,1
escape,6
stay,1
magnified,1
mercy,3
shewed,3
saving,1
cannot,6
thither,6
overthrow,2
haste,2
anything,1
risen,1
rained,1
brimstone,1
fire,3
overthrew,2
inhabitant,1
pillar,8
gat,1
smoke,2
feared,2
cave,7
firstborn,7
drink,23
lie,3
preserve,2
perceived,2
morrow,1
yesternight,3
moab,1
moabites,1
benammi,1
ammon,1
sojourned,4
abimelech,23
dream,5
dead,9
integrity,2
innocency,1
withheld,4
sinning,1
suffered,3
restore,2
prophet,1
ear,1
offended,1
deed,1
ought,1
sawest,1
wander,1
kindness,4
womenservants,2
restored,1
thousand,2
reproved,2
prayed,1
healed,1
fast,1
womb,6
visited,1
suck,1
weaned,2
mocking,1
cast,4
bondwoman,4
lad,8
bottle,3
putting,1
wandered,1
beersheba,9
spent,1
shrub,1
shot,1
death,8
wept,3
aileth,1
archer,1
paran,1
phichol,3
chief,3
captain,3
swear,5
falsely,1
abimelechs,1
violently,1
wot,1
ewe,5
lamb,6
mean,1
witness,6
digged,9
sware,7
philistine,7
grove,1
tempt,1
lovest,1
moriah,1
offer,1
saddled,1
as,2
clave,1
afar,1
yonder,1
worship,1
knife,2
provide,2
order,1
bound,1
stretched,1
fearest,1
caught,1
thicket,1
horn,1
stead,2
jehovahjireh,1
sworn,1
saith,2
multiplying,1
sand,2
shore,1
possess,2
obeyed,3
huz,1
buz,1
kemuel,1
chesed,1
hazo,1
pildash,1
jidlaph,1
bethuel,9
rebekah,28
concubine,2
reumah,1
tebah,1
gaham,1
thahash,1
maachah,1
kirjatharba,1
mourn,1
weep,1
sojourner,1
buryingplace,3
bury,7
choice,1
sepulchre,2
none,2
withhold,1
communed,1
mind,2
intreat,1
ephron,9
zohar,2
machpelah,4
much,3
worth,2
audience,3
shekel,4
weighed,1
named,2
current,1
merchant,1
sure,2
eldest,3
ruled,1
thigh,2
willing,2
follow,3
beware,1
send,7
clear,3
oath,5
master,23
matter,2
mesopotamia,1
kneel,1
draw,6
speed,1
damsel,6
pitcher,9
thereby,1
speaking,2
virgin,2
giving,1
drinking,2
emptied,1
trough,2
wondering,1
held,1
wit,1
prosperous,1
golden,1
earring,3
half,1
weight,2
bracelet,3
lodge,2
moreover,2
straw,2
provender,2
enough,1
worshipped,3
destitute,1
truth,2
led,2
laban,52
standest,1
prepared,2
ungirded,1
errand,1
prosper,2
cometh,4
asked,2
kindly,1
proceedeth,1
bad,3
bowing,1
jewel,2
raiment,4
precious,1
tarried,3
least,2
hinder,1
prospered,1
enquire,2
nurse,1
million,1
hate,2
rode,1
followed,2
lahairoi,2
meditate,1
eventide,1
coming,2
lighted,2
walketh,1
vail,1
loved,6
comforted,1
keturah,2
zimran,1
jokshan,2
medan,1
midian,2
ishbak,1
shuah,1
asshurim,1
letushim,1
leummim,1
ephah,1
epher,1
hanoch,1
abidah,1
eldaah,1
gift,1
threescore,2
ghost,2
purchased,1
nebajoth,2
kedar,1
adbeel,1
mibsam,1
mishma,1
dumah,1
massa,1
hadar,1
tema,1
jetur,1
naphish,1
kedemah,1
town,1
castle,1
syrian,5
padanaram,6
intreated,2
struggled,1
stronger,3
fulfilled,3
twin,1
red,2
hairy,3
esau,44
jacob,99
boy,1
cunning,1
venison,8
sod,1
pottage,3
faint,2
feed,3
edom,2
sell,1
birthright,5
point,1
profit,1
sold,2
lentiles,1
beside,2
perform,1
kept,2
charge,2
commandment,1
statute,1
long,1
sporting,1
lightly,1
lien,1
guiltiness,1
charged,2
toucheth,1
sowed,1
received,1
hundredfold,1
forward,1
store,1
envied,2
mightier,1
springing,1
esek,1
strove,3
sitnah,1
ahuzzath,1
friend,1
army,1
touched,1
betimes,1
shebah,1
judith,1
beeri,1
bashemath,1
elon,1
grief,1
dim,1
weapon,1
quiver,1
savoury,6
love,3
hunt,1
obey,3
kid,2
loveth,1
smooth,2
feel,2
seem,1
deceiver,1
goodly,1
neck,2
badest,1
sit,1
felt,1
discerned,1
kiss,2
kissed,4
smell,3
dew,2
fatness,2
plenty,1
corn,2
blesseth,1
scarce,1
gone,3
hunting,1
trembled,1
cried,1
bitter,1
subtilty,1
rightly,1
supplanted,1
reserved,1
sustained,1
yoke,1
hated,3
wherewith,1
mourning,1
touching,1
purposing,1
fury,1
anger,2
forget,1
deprived,1
weary,1
daughers,2
pleased,1
mahalath,1
certain,1
pillow,2
dreamed,1
ladder,1
reached,1
ascending,1
descending,1
whereon,1
liest,1
north,1
awaked,1
dreadful,1
poured,1
oil,1
luz,1
vowed,1
vow,2
lying,1
rolled,2
rachel,32
roll,1
tidings,1
embraced,1
abode,1
space,2
nought,1
wage,5
leah,20
eyed,1
beautiful,1
favoured,1
better,1
zilpah,4
fulfil,1
week,2
service,2
bilhah,5
reuben,2
simeon,1
levi,1
praise,1
judah,1
else,1
kindled,1
knee,1
judged,1
wrestling,1
wrestled,1
naphtali,1
leahs,4
troop,1
gad,1
happy,1
asher,1
wheat,1
mandrake,5
wouldest,3
hired,1
hire,4
maiden,1
issachar,1
endued,1
dowry,1
zebulun,1
afterwards,1
dinah,1
reproach,1
joseph,2
add,1
knowest,2
learned,1
experience,1
appoint,1
hadst,2
since,1
removing,1
speckled,9
spotted,6
answer,1
stolen,7
ringstraked,7
white,3
fed,1
rod,6
poplar,1
hazel,1
chesnut,1
pilled,2
strake,1
gutter,2
watering,1
conceive,3
whensoever,1
feeble,1
feebler,1
glory,1
power,2
deceived,1
changed,2
leaped,1
grisled,2
leap,1
doeth,1
anointedst,1
vowedst,1
inheritance,1
quite,1
devoured,1
childrens,1
carried,2
getting,1
shear,1
stole,1
unawares,2
gilead,3
overtook,2
heed,2
either,2
secretly,1
steal,1
mirth,1
song,1
tabret,1
foolishly,1
though,1
longedst,1
force,1
whomsoever,1
findest,1
discern,1
furniture,1
searched,3
displease,1
custom,1
chode,1
trespass,1
hotly,1
whereas,1
stuff,2
torn,1
loss,1
drought,1
frost,1
fourteen,1
except,1
empty,1
labour,1
rebuked,1
heap,7
jegarsahadutha,1
galeed,2
mizpah,1
watch,1
absent,1
harm,1
sacrifice,1
met,1
mahanaim,1
messenger,2
distressed,1
band,2
company,2
worthy,1
staff,1
deliver,1
lodged,1
present,3
milch,1
colt,1
kine,1
bull,1
foal,1
foremost,1
meeteth,1
asketh,1
appease,1
accept,1
